Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency
ADI,ANALOG DEVICES INC,Information Technology,Equity,"32,360,757.79",0.19,"32,360,757.79","131,489.00",246.11,United States,NASDAQ,USD
COP,CONOCOPHILLIPS,Energy,Equity,"32,280,619.28",0.19,"32,280,619.28","337,064.00",95.77,United States,New York Stock Exchange Inc.,USD
APP,APPLOVIN CORP CLASS A,Information Technology,Equity,"31,755,094.58",0.19,"31,755,094.58","63,514.00",499.97,United States,NASDAQ,USD
MDT,MEDTRONIC PLC,Health Care,Equity,"31,710,874.80",0.19,"31,710,874.80","341,528.00",92.85,United States,New York Stock Exchange Inc.,USD
KLAC,KLA CORP,Information Technology,Equity,"30,839,363.06",0.18,"30,839,363.06","35,314.00",873.29,United States,NASDAQ,USD
DE,DEERE,Industrials,Equity,"30,739,802.10",0.18,"30,739,802.10","64,729.00",474.9,United States,New York Stock Exchange Inc.,USD
TMUS,T MOBILE US INC,Communication,Equity,"30,332,557.20",0.18,"30,332,557.20","120,310.00",252.12,United States,NASDAQ,USD
MO,ALTRIA GROUP INC,Consumer Staples,Equity,"29,758,871.23",0.18,"29,758,871.23","446,897.00",66.59,United States,New York Stock Exchange Inc.,USD
SNPS,SYNOPSYS INC,Information Technology,Equity,"29,533,963.48",0.18,"29,533,963.48","49,063.00",601.96,United States,NASDAQ,USD
WELL,WELLTOWER INC,Real Estate,Equity,"29,104,720.64",0.17,"29,104,720.64","173,573.00",167.68,United States,New York Stock Exchange Inc.,USD
SPOT,SPOTIFY TECHNOLOGY SA,Communication,Equity,"28,850,811.50",0.17,"28,850,811.50","40,990.00",703.85,Sweden,New York Stock Exchange Inc.,USD
INTC,INTEL CORPORATION CORP,Information Technology,Equity,"28,511,743.23",0.17,"28,511,743.23","1,158,543.00",24.61,United States,NASDAQ,USD
PLD,PROLOGIS REIT INC,Real Estate,Equity,"27,767,711.63",0.17,"27,767,711.63","246,583.00",112.61,United States,New York Stock Exchange Inc.,USD
CB,CHUBB LTD,Financials,Equity,"27,594,488.72",0.17,"27,594,488.72","98,594.00",279.88,United States,New York Stock Exchange Inc.,USD
VRTX,VERTEX PHARMACEUTICALS INC,Health Care,Equity,"27,212,330.01",0.16,"27,212,330.01","68,557.00",396.93,United States,NASDAQ,USD
MMC,MARSH & MCLENNAN INC,Financials,Equity,"27,083,060.11",0.16,"27,083,060.11","131,401.00",206.11,United States,New York Stock Exchange Inc.,USD
SO,SOUTHERN,Utilities,Equity,"26,914,051.46",0.16,"26,914,051.46","292,958.00",91.87,United States,New York Stock Exchange Inc.,USD
CRWD,CROWDSTRIKE HOLDINGS INC CLASS A,Information Technology,Equity,"26,687,399.38",0.16,"26,687,399.38","64,703.00",412.46,United States,NASDAQ,USD
ICE,INTERCONTINENTAL EXCHANGE INC,Financials,Equity,"26,503,305.28",0.16,"26,503,305.28","151,864.00",174.52,United States,New York Stock Exchange Inc.,USD
SBUX,STARBUCKS CORP,Consumer Discretionary,Equity,"26,327,833.84",0.16,"26,327,833.84","302,584.00",87.01,United States,NASDAQ,USD
PH,PARKER-HANNIFIN CORP,Industrials,Equity,"25,934,206.56",0.16,"25,934,206.56","34,261.00",756.96,United States,New York Stock Exchange Inc.,USD
CEG,CONSTELLATION ENERGY CORP,Utilities,Equity,"25,806,510.00",0.15,"25,806,510.00","83,500.00",309.06,United States,NASDAQ,USD
CME,CME GROUP INC CLASS A,Financials,Equity,"25,606,155.07",0.15,"25,606,155.07","95,749.00",267.43,United States,NASDAQ,USD
CDNS,CADENCE DESIGN SYSTEMS INC,Information Technology,Equity,"25,383,016.46",0.15,"25,383,016.46","72,662.00",349.33,United States,NASDAQ,USD
BMY,BRISTOL MYERS SQUIBB,Health Care,Equity,"25,299,676.85",0.15,"25,299,676.85","541,865.00",46.69,United States,New York Stock Exchange Inc.,USD
LMT,LOCKHEED MARTIN CORP,Industrials,Equity,"25,276,139.95",0.15,"25,276,139.95","55,327.00",456.85,United States,New York Stock Exchange Inc.,USD
DUK,DUKE ENERGY CORP,Utilities,Equity,"24,950,227.14",0.15,"24,950,227.14","206,422.00",120.87,United States,New York Stock Exchange Inc.,USD
KKR,KKR AND CO INC,Financials,Equity,"24,684,129.95",0.15,"24,684,129.95","179,717.00",137.35,United States,New York Stock Exchange Inc.,USD
CVS,CVS HEALTH CORP,Health Care,Equity,"24,423,739.91",0.15,"24,423,739.91","331,439.00",73.69,United States,New York Stock Exchange Inc.,USD
TT,TRANE TECHNOLOGIES PLC,Industrials,Equity,"24,400,225.85",0.15,"24,400,225.85","59,059.00",413.15,United States,New York Stock Exchange Inc.,USD
AMT,AMERICAN TOWER REIT CORP,Real Estate,Equity,"24,224,130.21",0.15,"24,224,130.21","124,169.00",195.09,United States,New York Stock Exchange Inc.,USD
RCL,ROYAL CARIBBEAN GROUP LTD,Consumer Discretionary,Equity,"24,167,227.20",0.14,"24,167,227.20","67,120.00",360.06,United States,New York Stock Exchange Inc.,USD
ORLY,OREILLY AUTOMOTIVE INC,Consumer Discretionary,Equity,"23,715,616.08",0.14,"23,715,616.08","225,777.00",105.04,United States,NASDAQ,USD
DASH,DOORDASH INC CLASS A,Consumer Discretionary,Equity,"23,647,036.56",0.14,"23,647,036.56","95,052.00",248.78,United States,NASDAQ,USD
NKE,NIKE INC CLASS B,Consumer Discretionary,Equity,"23,096,508.05",0.14,"23,096,508.05","306,523.00",75.35,United States,New York Stock Exchange Inc.,USD
MCK,MCKESSON CORP,Health Care,Equity,"22,990,021.05",0.14,"22,990,021.05","33,249.00",691.45,United States,New York Stock Exchange Inc.,USD
SHW,SHERWIN WILLIAMS,Materials,Equity,"22,744,566.18",0.14,"22,744,566.18","62,181.00",365.78,United States,New York Stock Exchange Inc.,USD
MMM,3M,Industrials,Equity,"22,200,324.48",0.13,"22,200,324.48","142,749.00",155.52,United States,New York Stock Exchange Inc.,USD
NEM,NEWMONT,Materials,Equity,"22,083,010.56",0.13,"22,083,010.56","294,912.00",74.88,United States,New York Stock Exchange Inc.,USD
WM,WASTE MANAGEMENT INC,Industrials,Equity,"22,047,124.55",0.13,"22,047,124.55","98,009.00",224.95,United States,New York Stock Exchange Inc.,USD
PNC,PNC FINANCIAL SERVICES GROUP INC,Financials,Equity,"21,706,237.44",0.13,"21,706,237.44","104,679.00",207.36,United States,New York Stock Exchange Inc.,USD
MSTR,STRATEGY INC CLASS A,Information Technology,Equity,"21,677,613.07",0.13,"21,677,613.07","66,173.00",327.59,United States,NASDAQ,USD
GD,GENERAL DYNAMICS CORP,Industrials,Equity,"21,586,068.24",0.13,"21,586,068.24","66,946.00",322.44,United States,New York Stock Exchange Inc.,USD
CI,CIGNA,Health Care,Equity,"21,552,078.64",0.13,"21,552,078.64","70,888.00",304.03,United States,New York Stock Exchange Inc.,USD
XTSLA,BLK CSH FND TREASURY SL AGENCY,Cash and/or Derivatives,Money Market,"21,394,773.01",0.13,"21,394,773.01","21,394,773.00",1,United States,--,USD
MSI,MOTOROLA SOLUTIONS INC,Information Technology,Equity,"21,180,370.86",0.13,"21,180,370.86","44,253.00",478.62,United States,New York Stock Exchange Inc.,USD
MDLZ,MONDELEZ INTERNATIONAL INC CLASS A,Consumer Staples,Equity,"20,902,950.60",0.13,"20,902,950.60","343,234.00",60.9,United States,NASDAQ,USD
NOC,NORTHROP GRUMMAN CORP,Industrials,Equity,"20,827,878.00",0.12,"20,827,878.00","35,925.00",579.76,United States,New York Stock Exchange Inc.,USD
AON,AON PLC CLASS A,Financials,Equity,"20,775,754.74",0.12,"20,775,754.74","55,626.00",373.49,United States,New York Stock Exchange Inc.,USD
ITW,ILLINOIS TOOL INC,Industrials,Equity,"20,687,988.57",0.12,"20,687,988.57","77,871.00",265.67,United States,New York Stock Exchange Inc.,USD
MCO,MOODYS CORP,Financials,Equity,"20,581,116.32",0.12,"20,581,116.32","41,182.00",499.76,United States,New York Stock Exchange Inc.,USD
USB,US BANCORP,Financials,Equity,"20,389,373.07",0.12,"20,389,373.07","414,671.00",49.17,United States,New York Stock Exchange Inc.,USD
HOOD,ROBINHOOD MARKETS INC CLASS A,Financials,Equity,"20,176,946.24",0.12,"20,176,946.24","196,064.00",102.91,United States,NASDAQ,USD
AJG,ARTHUR J GALLAGHER,Financials,Equity,"20,169,380.04",0.12,"20,169,380.04","67,182.00",300.22,United States,New York Stock Exchange Inc.,USD
BK,BANK OF NEW YORK MELLON CORP,Financials,Equity,"20,144,859.28",0.12,"20,144,859.28","190,838.00",105.56,United States,New York Stock Exchange Inc.,USD
FI,FISERV INC,Financials,Equity,"20,074,293.80",0.12,"20,074,293.80","147,410.00",136.18,United States,New York Stock Exchange Inc.,USD
CRH,CRH PUBLIC LIMITED PLC,Materials,Equity,"20,053,303.53",0.12,"20,053,303.53","179,673.00",111.61,United States,New York Stock Exchange Inc.,USD
EQIX,EQUINIX REIT INC,Real Estate,Equity,"19,882,475.63",0.12,"19,882,475.63","25,891.00",767.93,United States,NASDAQ,USD
EMR,EMERSON ELECTRIC,Industrials,Equity,"19,873,826.50",0.12,"19,873,826.50","149,315.00",133.1,United States,New York Stock Exchange Inc.,USD
RBLX,ROBLOX CORP CLASS A,Communication,Equity,"19,374,012.88",0.12,"19,374,012.88","149,272.00",129.79,United States,New York Stock Exchange Inc.,USD
HWM,HOWMET AEROSPACE INC,Industrials,Equity,"19,071,651.43",0.11,"19,071,651.43","106,231.00",179.53,United States,New York Stock Exchange Inc.,USD
HCA,HCA HEALTHCARE INC,Health Care,Equity,"19,067,318.34",0.11,"19,067,318.34","46,326.00",411.59,United States,New York Stock Exchange Inc.,USD
CTAS,CINTAS CORP,Industrials,Equity,"18,970,951.12",0.11,"18,970,951.12","91,718.00",206.84,United States,NASDAQ,USD
TDG,TRANSDIGM GROUP INC,Industrials,Equity,"18,920,797.41",0.11,"18,920,797.41","14,761.00","1,281.81",United States,New York Stock Exchange Inc.,USD
JCI,JOHNSON CONTROLS INTERNATIONAL PLC,Industrials,Equity,"18,756,492.23",0.11,"18,756,492.23","175,147.00",107.09,United States,New York Stock Exchange Inc.,USD
AZO,AUTOZONE INC,Consumer Discretionary,Equity,"18,730,848.00",0.11,"18,730,848.00","4,425.00","4,232.96",United States,New York Stock Exchange Inc.,USD
WMB,WILLIAMS INC,Energy,Equity,"18,617,341.40",0.11,"18,617,341.40","323,330.00",57.58,United States,New York Stock Exchange Inc.,USD
ELV,ELEVANCE HEALTH INC,Health Care,Equity,"18,455,275.50",0.11,"18,455,275.50","59,910.00",308.05,United States,New York Stock Exchange Inc.,USD
SNOW,SNOWFLAKE INC,Information Technology,Equity,"18,399,282.30",0.11,"18,399,282.30","82,917.00",221.9,United States,New York Stock Exchange Inc.,USD
ECL,ECOLAB INC,Materials,Equity,"18,257,665.64",0.11,"18,257,665.64","66,406.00",274.94,United States,New York Stock Exchange Inc.,USD
ZTS,ZOETIS INC CLASS A,Health Care,Equity,"18,111,610.40",0.11,"18,111,610.40","118,222.00",153.2,United States,New York Stock Exchange Inc.,USD
ADSK,AUTODESK INC,Information Technology,Equity,"18,057,489.06",0.11,"18,057,489.06","56,442.00",319.93,United States,NASDAQ,USD
PYPL,PAYPAL HOLDINGS INC,Financials,Equity,"17,822,260.26",0.11,"17,822,260.26","260,331.00",68.46,United States,NASDAQ,USD
CL,COLGATE-PALMOLIVE,Consumer Staples,Equity,"17,820,287.61",0.11,"17,820,287.61","212,983.00",83.67,United States,New York Stock Exchange Inc.,USD
EOG,EOG RESOURCES INC,Energy,Equity,"17,790,931.20",0.11,"17,790,931.20","146,307.00",121.6,United States,New York Stock Exchange Inc.,USD
FCX,FREEPORT MCMORAN INC,Materials,Equity,"17,597,818.60",0.11,"17,597,818.60","381,980.00",46.07,United States,New York Stock Exchange Inc.,USD
NET,CLOUDFLARE INC CLASS A,Information Technology,Equity,"17,247,547.22",0.1,"17,247,547.22","82,139.00",209.98,United States,New York Stock Exchange Inc.,USD
APD,AIR PRODUCTS AND CHEMICALS INC,Materials,Equity,"17,182,752.29",0.1,"17,182,752.29","59,257.00",289.97,United States,New York Stock Exchange Inc.,USD
HLT,HILTON WORLDWIDE HOLDINGS INC,Consumer Discretionary,Equity,"17,181,327.40",0.1,"17,181,327.40","61,790.00",278.06,United States,New York Stock Exchange Inc.,USD
VST,VISTRA CORP,Utilities,Equity,"17,114,594.65",0.1,"17,114,594.65","90,205.00",189.73,United States,New York Stock Exchange Inc.,USD
TRV,TRAVELERS COMPANIES INC,Financials,Equity,"16,777,256.63",0.1,"16,777,256.63","60,041.00",279.43,United States,New York Stock Exchange Inc.,USD
NSC,NORFOLK SOUTHERN CORP,Industrials,Equity,"16,771,332.24",0.1,"16,771,332.24","59,949.00",279.76,United States,New York Stock Exchange Inc.,USD
COIN,COINBASE GLOBAL INC CLASS A,Financials,Equity,"16,766,313.20",0.1,"16,766,313.20","54,649.00",306.8,United States,NASDAQ,USD
URI,UNITED RENTALS INC,Industrials,Equity,"16,569,964.82",0.1,"16,569,964.82","17,177.00",964.66,United States,New York Stock Exchange Inc.,USD
UPS,UNITED PARCEL SERVICE INC CLASS B,Industrials,Equity,"16,401,707.52",0.1,"16,401,707.52","194,149.00",84.48,United States,New York Stock Exchange Inc.,USD
TFC,TRUIST FINANCIAL CORP,Financials,Equity,"16,337,149.74",0.1,"16,337,149.74","347,082.00",47.07,United States,New York Stock Exchange Inc.,USD
CSX,CSX CORP,Industrials,Equity,"16,241,850.66",0.1,"16,241,850.66","497,301.00",32.66,United States,NASDAQ,USD
MAR,MARRIOTT INTERNATIONAL INC CLASS A,Consumer Discretionary,Equity,"16,165,681.65",0.1,"16,165,681.65","60,129.00",268.85,United States,NASDAQ,USD
REGN,REGENERON PHARMACEUTICALS INC,Health Care,Equity,"15,791,404.80",0.09,"15,791,404.80","27,840.00",567.22,United States,NASDAQ,USD
SPG,SIMON PROPERTY GROUP REIT INC,Real Estate,Equity,"15,687,321.44",0.09,"15,687,321.44","86,422.00",181.52,United States,New York Stock Exchange Inc.,USD
USD,USD CASH,Cash and/or Derivatives,Cash,"15,577,196.97",0.09,"15,577,196.97","15,577,197.00",100,United States,--,USD
